row-number,field,issue-type,value
1,PlanningHistory,uri,Permission reference N6/2015/0294/PP | http://planning.welhat.gov.uk/plandisp.aspx?recno=17483
2,PlanningHistory,uri,Assessed in 2016 HELAA - Site Pea02c | Proposed allocation in Submission Local Plan - Site SDS4
3,PlanningHistory,uri,Permission reference 6/2015/1901/RM | http://planning.welhat.gov.uk/plandisp.aspx?recno=63027
4,PlanningHistory,uri,Permission reference 6/2016/1975/RM | http://planning.welhat.gov.uk/plandisp.aspx?recno=65660
5,PlanningHistory,uri,Assessed in 2016 HELAA - Site Hal03| Proposed allocation in Submission Local Plan - Site HS4
6,PlanningHistory,uri,Permission reference 6/2016/1176/RM | http://planning.welhat.gov.uk/plandisp.aspx?recno=64862
7,PlanningHistory,uri,Permission reference N6/2015/1049/OR | http://planning.welhat.gov.uk/plandisp.aspx?recno=28608
8,PlanningHistory,uri,Assessed in 2016 HELAA - Site Han40 | Proposed allocation in Submission Local Plan - Site MUS1
9,PlanningHistory,uri,Assessed in 2016 HELAA - Site HW100 | Proposed allocation in Submission Local Plan - Site MUS3
10,PlanningHistory,uri,Permission reference N6/2014/0208/DE | http://planning.welhat.gov.uk/plandisp.aspx?recno=57341
11,PlanningHistory,uri,Assessed in 2016 HELAA - Site HC100b | Proposed allocation in Submission Local Plan - Site MUS2
12,PlanningHistory,uri,Permission reference 6/2016/1739/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=65424
13,PlanningHistory,uri,Assessed in 2016 HELAA - Site HE23 | Proposed allocation in Submission Local Plan - Site HS14
14,PlanningHistory,uri,Permission reference 6/2017/0818/PN11 | http://planning.welhat.gov.uk/plandisp.aspx?recno=84241
15,PlanningHistory,uri,Permission reference S6/2015/1119/OR | http://planning.welhat.gov.uk/plandisp.aspx?recno=29398
16,PlanningHistory,uri,Permission reference 6/2015/2213/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=63338
17,PlanningHistory,uri,Permission reference 6/2016/2624/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=83309
18,PlanningHistory,uri,Permission reference 6/2017/1301/PN11 | http://planning.welhat.gov.uk/plandisp.aspx?recno=84768
19,PlanningHistory,uri,Permission reference 6/2016/1882/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=65567
20,PlanningHistory,uri,Assessed in 2016 HELAA - Site Pea08 | Proposed allocation in Submission Local Plan - Site HS3
21,PlanningHistory,uri,Permission reference 6/2016/2690/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=83375
22,PlanningHistory,uri,Permission reference 6/2016/2497/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=66179
23,PlanningHistory,uri,Permission reference 6/2016/1647/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=65332
24,PlanningHistory,uri,Permission reference N6/2015/0034/MA | http://planning.welhat.gov.uk/plandisp.aspx?recno=12842
25,PlanningHistory,uri,Permission reference N6/2015/0192/OR | http://planning.welhat.gov.uk/plandisp.aspx?recno=15793
26,PlanningHistory,uri,Permission reference S6/2014/2179/MA | http://planning.welhat.gov.uk/plandisp.aspx?recno=61084
27,PlanningHistory,uri,Assessed in 2016 HELAA - Site Pea24 | Proposed allocation in Submission Local Plan - Site HS8
28,PlanningHistory,uri,Permission reference 6/2015/2128/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=63253
29,PlanningHistory,uri,Permission reference S6/2014/1541/MA | http://planning.welhat.gov.uk/plandisp.aspx?recno=59793
30,PlanningHistory,uri,Permission reference 6/2015/1774/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=62898
31,PlanningHistory,uri,Permission reference S6/2011/1994/MA | http://planning.welhat.gov.uk/plandisp.aspx?recno=55173
32,PlanningHistory,uri,Permission reference 6/2017/0525/PN11 | http://planning.welhat.gov.uk/plandisp.aspx?recno=83953
33,PlanningHistory,uri,Assessed in 2016 HELAA - Site Hol19 | Proposed allocation in Submission Local Plan - Site HS5
34,PlanningHistory,uri,Permission reference 6/2017/1176/PN11 | http://planning.welhat.gov.uk/plandisp.aspx?recno=84633
35,PlanningHistory,uri,Permission reference 6/2016/0345/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=64045
36,PlanningHistory,uri,Assessed in 2016 HELAA - Site HS31 | Proposed allocation in Submission Local Plan - Site HS10
37,PlanningHistory,uri,Permission reference 6/2017/1687/FULL | http://planning.welhat.gov.uk/plandisp.aspx?recno=85150
38,PlanningHistory,uri,Permission reference 6/2016/0192/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=63892
39,PlanningHistory,uri,Permission reference 6/2016/0887/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=64574
40,PlanningHistory,uri,Permission reference N6/2013/2727/DE | http://planning.welhat.gov.uk/plandisp.aspx?recno=56939
41,PlanningHistory,uri,Permission reference 6/2016/0818/MAJ | http://planning.welhat.gov.uk/plandisp.aspx?recno=64505
42,PlanningHistory,uri,Assessed in 2016 HELAA - Site HC11
43,PlanningHistory,uri,Permission reference S6/2015/1035/FP | http://planning.welhat.gov.uk/plandisp.aspx?recno=28408
