site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Tower Place, Waterworks Street, Immingham",yes,,2017-10-18,,0.8,32,32,'Developer/Owner of the site is currently pursuing the discharge of conditions for the sites planning consent. This application was validated on 2015-02-02 and is pending consideration.''. Erect 31 houses and 1 apartment,local-authority-eng:NEL,not owned by a public authority,2010-08-06,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVJLJXB209,permissioned,full planning permission,BS0001,,2017-10-18
"71-85 Hamilton Street, Grimsby",,,2017-10-18,,0.27,30,24,'The site was granted planning permission for 3 dwellings and 21 apartments on 2007-11-05 but has since expired. An existing car wash forms part of the site.'',local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZV5LJXB137,not permissioned,,BS0002,,2017-10-18
"Chapman's pond, Hawthorne Avenue, Cleethorpes",,,2017-10-18,,3.76,110,110,,local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,BS0003,,2017-10-18
"Land off Pelham Road, Cleethorpes",yes,,2017-10-18,,0.54,14,14,S106 approved. Demolish existing commercial premise and erect 14 link homes (12 no. 3 bed link over 2 floors and 2 no. 3 bed semi detached over 3 floors),local-authority-eng:NEL,not owned by a public authority,2015-12-24,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVRLJXB013,permissioned,full planning permission,BS0004,,2017-10-18
"Land off Pelham Road, Cleethorpes",,,2017-10-18,,3.96,118,118,"The site is within close proximity to the Humber estuary and close to a designated site of local nature conservation importance, and development may have an ecological impact which will need to be assessed.''",local-authority-eng:NEL,owned by a public authority,,,not permissioned,other,BS0005,,2017-10-18
"Land west of Cartergate, Grimsby",,,2017-10-18,,0.18,14,14,The site is currently in temporary alternative use as a car park granted permission on 2016-12-21',local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFLDHMLJM1000,not permissioned,,BS0006,,2017-10-18
"Former Clifton Bingo, Grant Street, Grimsby",yes,,2017-10-18,,0.21,80,35,"Outline for LDO, erection of buildings and / or use of Land primarily for Class C3 with ancillary A1, A3, D2 and C1 use",local-authority-eng:NEL,not owned by a public authority,2016-03-09,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY47VLJ00700,permissioned,full planning permission,BS0007,,2017-10-18
"Former Birds-eye factory site, Ladysmith Road, Grimsby",yes,,2017-10-18,,4.16,260,176,"This site benefits from outline planning permission and reserved matters have been approved for part of the site (DC/630/12/HEN). For plots 11-23 13 dwellings in lieu of 14.. Redevelopment into a residential development for 177 mixed dwellings, amended",local-authority-eng:NEL,not owned by a public authority,2013-02-18,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVKLJXB482,permissioned,outline planning permission,BS0008,,2017-10-18
"Claremont House, 7 Welholme Avenue, Grimsby",,,2017-10-18,,0.58,22,13,"Planning permission has previously been granted on the site for the alteration of Claremont House to form 13 flats, including the part demolition of the building. This consent has since expired. Currently there is application pending. Change of use of Former carehome to 2 semi-detached dwellings and erect 20 new dwellings (18 four bed and 2 three bed)",local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWH9KQLJK4B00,pending decision,full planning permission,BS0009,,2017-10-18
"The Cedars offices, Eastern Inway, Grimsby",yes,,2017-10-18,,0.43,34,32,"Removal of existing buildings, erection of 1.5 and 2.5 storey buildings to provide maximum of 32 over 55s affordable accommodation",local-authority-eng:NEL,not owned by a public authority,2016-09-28,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJI410LJJSK00,permissioned,outline planning permission,BS0010,,2017-10-18
"Cordage Mill, Convamore Road, Grimsby",,,2017-10-18,,3.22,113,113,"'The site incorporates a grade II listed building, is in Flood Zone 3 and carries a potential for contamination due to its historical use as a mill. However the development of the site gives an opportunity to bring a listed building back into use.''",local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,BS0011,,2017-10-18
"Former Western School site, Cambridge Road, Grimsby",yes,,2017-10-18,,10.38,400,400,"'To be interpreted as brownfield, the football fields should be omitted from the site area. Therefore the total site area with the potential for permission in principle is 3.96ha''. 'Outline permission for LDO, erection of buildings and / or use of Land for Class A1, A2, A3, B1, C3 and D1 uses.''",local-authority-eng:NEL,owned by a public authority,2016-03-09,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY4BRLJ00700,permissioned,full planning permission,BS0012,,2017-10-18
"Land off College Street, Grimsby",yes,,2017-10-18,,0.43,13,13,Erect 10 three bedroom and 3 four bedroom dwellings.,local-authority-eng:NEL,not owned by a public authority,2016-02-12,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVUY4CLJLSJ00,permissioned,full planning permission,BS0013,,2017-10-18
"Land at north west of Diana Princess of Wales Hospital site, Grimsby",,,2017-10-18,,0.5,19,19,,local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,BS0015,,2017-10-18
"Fletchers Yard, Wellowgate, Grimsby",yes,,2017-10-18,,0.18,12,12,,local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZV9LJXB177,not permissioned,,BS0016,,2017-10-18
"Land at Willows Farm, Immingham",,,2017-10-18,,0.66,8,8,,local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,BS0017,,2017-10-18
